aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
5,1655.58,10.17,47.3,0.89,28.85,175.44,193.64,12.54,1607299200
5,1815.8,10.51,45.93,0.44,22.17,194.54,213.9,10.13,1607295600
5,2616.88,20.12,52.09,0.06,21.7,264.19,291.01,11.27,1607292000
5,4646.3,59.9,52.09,0,21.7,422.02,468.66,20.77,1607288400
5,5180.36,67.06,64.43,0,33.38,450.74,502.08,43.57,1607284800
5,5287.17,66.16,76.08,0,42.44,443.91,492.96,58.26,1607281200
5,5126.95,59.01,78.14,0,32.9,420.58,466.37,40.53,1607277600
5,5126.95,53.2,84.31,0,25.03,418.15,463.88,24.32,1607274000
5,5500.79,50.96,100.08,0,27.42,429.87,476.47,20.77,1607270400
5,7583.62,94.77,112.41,0,36.24,497.58,549.29,30.4,1607266800
5,9078.98,132.32,126.12,0,55.31,521.09,572.81,53.2,1607263200
5,9078.98,134.11,138.46,0,79.16,481.51,527.64,78.02,1607259600
5,7476.81,96.56,142.57,0,75.34,388.43,424.32,69.92,1607256000
5,5126.95,34.42,145.32,0.59,62.94,291.66,316.13,48.13,1607252400
5,2536.77,1.15,100.08,71.53,52.93,214.11,228.11,24.07,1607248800
5,1001.36,1.27,37.01,168.8,48.64,171.55,178.79,4.31,1607245200
5,988.01,2.46,32.9,174.52,48.64,172.09,179.27,3.48,1607241600
5,974.66,3.16,28.45,171.66,47.21,172.59,180.07,2.82,1607238000
5,974.66,3.91,27.42,153.07,45.3,167.78,175.84,2.6,1607234400
5,974.66,5.14,29.13,123.02,42.92,154.55,162.96,2.57,1607230800
5,1148.22,8.38,35.64,86.55,43.87,153.76,164.37,5.19,1607227200
5,2136.23,28.39,50.72,27.54,45.78,181.37,201.41,22.8,1607223600
5,2296.45,31.29,47.3,14.66,36.24,179.58,199.62,20.01,1607220000
5,2216.34,24.36,46.61,4.65,28.85,182.13,201.23,15.2,1607216400
5,2269.75,22.8,43.87,0.14,21.22,196.68,216.71,13.17,1607212800
5,2136.23,18.55,44.55,0.04,16.21,194.85,214.89,12.03,1607209200
5,2323.15,20.56,48.67,0.03,15.5,205.81,229.34,14.19,1607205600
5,2670.29,26.38,52.78,0.01,15.5,222.61,251.49,15.83,1607202000
5,3124.24,34.87,56.89,0,15.74,241,275.01,16.21,1607198400
5,4005.43,54.09,63.06,0,16.93,278.46,321.31,17.73,1607194800
5,5607.61,92.09,72.66,0,18.6,358.99,420.47,19,1607191200
5,6568.91,111.76,86.37,0,26.23,411.73,487.18,25.08,1607187600
5,7049.56,116.23,101.45,0,40.53,435.33,515.44,45.09,1607184000
5,7263.18,119.81,112.41,0,53.41,425.6,497.33,67.89,1607180400
5,7156.37,121.59,117.9,0,61.99,394.2,453.82,74.98,1607176800
5,6835.94,116.23,119.27,0,66.76,345.63,394.07,77.01,1607173200
5,6355.29,104.61,117.9,0,61.99,292,328.8,66.88,1607169600
5,5126.95,65.27,116.53,0.03,58.65,233.48,258.17,52.18,1607166000
5,2616.88,8.27,95.96,33.62,49.11,158.86,171.57,27.11,1607162400
5,921.25,1.98,33.93,117.3,37.67,114.33,119.59,6.33,1607158800
5,841.14,3.24,26.39,120.16,33.38,109.57,114.43,5,1607155200
5,801.09,4.25,22.28,110.15,29.8,102.25,107.04,4.43,1607151600
5,801.09,5.76,22.28,83.69,29.33,86.75,91.78,4.81,1607148000
5,807.76,7.15,24.33,54.36,30.04,69.3,74.5,5.64,1607144400
5,867.84,7.49,28.45,30.04,30.99,63.68,69.57,7.41,1607140800
5,1028.06,10.84,34.27,15.91,36.72,69.6,76.84,10.77,1607137200
5,1081.47,10.73,33.24,17.7,34.81,72.76,80.11,12.03,1607133600
5,1054.76,4.64,36.33,18.42,31.47,76.45,83.8,13.55,1607130000
5,1014.71,0.29,37.01,24.32,26.7,83.35,91.04,16.72,1607126400
5,867.84,0.02,30.16,37.91,21.7,82.06,89.06,16.97,1607122800
5,834.47,0.01,27.42,45.06,19.55,82.77,89.89,17.48,1607119200
5,834.47,0,27.08,48.64,18.84,82.37,89.71,18.49,1607115600
5,841.14,0,27.08,50.07,18.6,80.43,88.13,19.25,1607112000
5,867.84,0,29.47,50.07,19.79,80.1,88.37,20.01,1607108400
5,961.3,0,34.62,47.92,23.84,82.17,91.38,20.27,1607104800
5,1108.17,0.01,41.81,44.35,30.04,87.13,97.62,20.77,1607101200
5,1174.93,0,42.84,47.21,33.85,90.93,102.12,20.52,1607097600
5,1241.68,0,42.84,47.92,35.76,92.38,103.69,20.52,1607094000
5,1375.2,0.01,48.67,40.05,37.67,92.64,104.07,21.28,1607090400
5,1588.82,0.2,61.69,23.6,41.96,93.89,105.78,22.55,1607086800
5,1762.39,0.73,73.34,14.48,47.68,94.89,106.43,22.04,1607083200
5,1682.28,0.31,71.97,22.89,50.07,92.44,102.24,18.49,1607079600
5,1428.6,1.31,60.32,47.21,49.11,92.2,100.49,14.82,1607076000
5,1201.63,4.64,47.98,72.96,47.21,95.55,103.13,12.29,1607072400
5,1028.06,6.2,37.36,88.69,42.44,93.73,100.44,9.88,1607068800
5,854.49,5.76,26.05,91.55,33.85,82.48,88.14,7.28,1607065200
5,761.03,6.04,21.08,75.1,29.09,65.21,70.47,6.46,1607061600
5,761.03,7.71,22.28,49.35,29.09,52.3,57.8,6.97,1607058000
4,781.06,8.05,23.31,31.11,28.13,46.14,51.81,7.41,1607054400
4,854.49,7.71,27.08,18.42,29.09,46.16,52.12,8.36,1607050800
4,934.6,6.2,32.22,10.91,30.28,48.5,54.64,9.5,1607047200
5,921.25,2.57,35.64,9.3,29.56,50.62,56.46,9.88,1607043600
4,781.06,0.55,31.19,16.45,26.94,49.2,54.17,9.5,1607040000
4,654.22,0.13,25.71,25.03,23.84,46.66,50.76,8.49,1607036400
4,620.84,0.05,23.31,31.47,21.94,49.53,53.45,8.23,1607032800
5,614.17,0.02,21.76,38.27,21.22,55.52,59.44,8.11,1607029200
5,614.17,0,20.39,46.49,20.27,63.89,67.82,7.66,1607025600
5,627.52,0,19.71,54.36,20.03,72.74,76.86,7.41,1607022000
5,660.9,0,21.25,57.22,21.22,78.75,83.27,7.73,1607018400
5,734.33,0,24.33,57.94,23.84,85.37,90.77,8.49,1607014800
5,834.47,0,28.1,62.23,28.13,96.55,103.29,10.01,1607011200
5,921.25,0,31.87,68.67,32.42,109.01,116.86,11.78,1607007600
5,1014.71,0,34.96,72.96,35.29,118.53,126.62,12.54,1607004000
5,1148.22,0,41.47,69.38,38.15,122.4,130.84,13.55,1607000400
5,1255.04,0,50.04,60.8,42.44,116.18,124.38,14.19,1606996800
5,1255.04,0,52.78,60.08,44.35,106.71,114.1,12.92,1606993200
5,1094.82,0.29,45.93,74.39,40.53,100.93,107.27,10.39,1606989600
5,934.6,1.3,35.64,92.98,34.81,99.67,105.48,8.49,1606986000
5,847.82,2.18,28.1,104.43,30.99,102.22,107.74,6.97,1606982400
5,787.74,2.4,21.25,111.58,26.23,106.76,112.28,5.64,1606978800
5,781.06,3.16,19.54,100.14,25.51,106.19,112.23,5.64,1606975200
5,807.76,5.31,21.25,73.67,27.18,94.5,101.13,5.95,1606971600
5,841.14,8.16,21.59,48.64,27.9,81.32,88.54,6.59,1606968000
5,947.95,11.96,23.99,28.61,30.99,75.23,83.57,8.61,1606964400
5,1054.76,11.62,29.13,17.17,32.42,76.72,85.76,10.13,1606960800
5,1054.76,4.53,36.67,12.52,31.95,83.85,93.49,11.15,1606957200
5,907.9,0.31,35.64,21.82,30.52,91.36,101.23,11.65,1606953600
5,767.71,0.03,30.16,33.98,27.9,94.47,104.12,11.27,1606950000
5,754.36,0.01,28.45,38.62,27.42,97.55,107.31,12.16,1606946400
5,794.41,0.01,29.47,37.91,27.42,103.82,114.03,13.93,1606942800
5,841.14,0.01,30.85,35.76,27.42,110.35,120.79,14.44,1606939200
5,907.9,0.03,34.62,29.33,28.85,112.18,122.98,14.69,1606935600
5,974.66,0.18,40.1,19.49,31.95,106.48,117.63,15.33,1606932000
5,1081.47,0.79,45.93,10.64,36.72,102.14,114.11,16.21,1606928400
5,1174.93,1.84,49.35,6.17,41.49,104.18,117.08,17.73,1606924800
5,1495.36,7.6,54.15,1.34,44.82,118.62,133.37,22.29,1606921200
5,1976.01,19.22,60.32,0.09,51.02,135.88,152.71,26.85,1606917600
5,2483.37,32.19,67.17,0.01,57.7,147.35,165.82,29.64,1606914000
5,2510.07,31.29,72.66,0.01,59.61,138.48,155.78,27.61,1606910400
5,2029.42,15.2,76.77,0.5,55.31,118.5,132.54,21.28,1606906800
5,1361.85,1.82,65.8,18.77,47.68,100.77,111.79,14.06,1606903200
5,961.3,1.87,44.55,47.92,41.01,91.29,100.56,8.99,1606899600
5,921.25,3.41,38.39,57.94,39.1,92.57,101.84,8.11,1606896000
5,894.55,4.3,33.24,64.37,36.24,94.81,104.31,7.79,1606892400
5,867.84,4.58,30.85,64.37,35.29,97.01,106.85,7.98,1606888800
5,867.84,4.19,32.22,60.08,35.76,99.45,109.52,8.11,1606885200
5,934.6,3.8,35.3,50.78,37.19,103.05,114.05,9.63,1606881600
5,1121.52,4.02,44.55,33.26,44.82,112.45,124.97,13.05,1606878000
5,1188.28,1.98,49.35,28.61,43.87,113.94,126.11,13.68,1606874400
5,1148.22,0.32,49.35,30.4,41.49,113.09,124.56,14.31,1606870800
5,961.3,0.02,42.16,39.7,38.62,107.63,117.7,14.57,1606867200
5,807.76,0,35.99,48.64,35.29,104.31,113.34,13.93,1606863600
5,781.06,0,33.59,55.08,34.33,105.29,114.43,14.19,1606860000
5,787.74,0,32.56,59.37,33.85,107.28,116.78,14.44,1606856400
5,794.41,0,32.22,61.51,32.9,107.96,117.81,14.57,1606852800
5,834.47,0,33.93,57.22,33.38,105.45,116,15.83,1606849200
5,1054.76,0.01,41.81,39.34,33.85,107.27,119.91,20.01,1606845600
5,1735.69,2.77,66.49,8.85,37.19,130.12,148.82,27.61,1606842000
5,3204.35,30.4,85.68,0.07,45.3,190.42,221.68,41.54,1606838400
5,5928.04,97.45,100.08,0,57.7,304.67,356.42,64.34,1606834800
5,6782.53,126.96,108.3,0,67.71,330.71,385.26,68.9,1606831200
5,6568.91,125.17,112.41,0,74.39,303.9,353.33,65.86,1606827600
5,5874.63,107.29,111.04,0,78.2,253.05,291.3,58.77,1606824000
5,4646.3,68.84,106.93,0,80.11,198.8,224.71,46.61,1606820400
5,2590.18,13.52,100.08,7.42,70.57,144.45,160.35,28.88,1606816800
5,1375.2,1.26,66.49,47.92,57.22,115,125.67,15.83,1606813200
5,1121.52,1.69,48.67,65.8,46.25,109.5,119.12,12.16,1606809600
5,907.9,1.77,34.62,77.25,36.72,103.85,112.79,9.12,1606806000
5,841.14,1.41,30.16,71.53,33.85,99.5,108.56,8.23,1606802400
5,867.84,1.82,32.56,58.65,35.76,98.36,108.13,8.87,1606798800
5,921.25,2.18,34.27,49.35,35.76,100.41,111,10.01,1606795200
5,1041.41,2.12,40.1,36.48,38.62,104.99,116.65,12.41,1606791600
5,1148.22,1.22,45.93,28.61,40.05,107.24,119.15,14.06,1606788000
5,1121.52,0.27,45.93,29.33,39.1,106.35,117.68,15.07,1606784400
5,934.6,0.03,39.41,36.84,36.72,101.75,111.81,15.07,1606780800
5,794.41,0.01,33.59,45.42,32.9,96.48,105.38,14.31,1606777200
5,794.41,0,32.56,47.21,31.47,97.21,106.22,15.58,1606773600
5,1001.36,0.02,37.7,33.62,27.9,106.72,118.4,24.83,1606770000
5,1161.58,0.07,41.47,25.39,25.27,113.8,127.55,29.39,1606766400
5,1308.44,0.13,45.93,21.28,25.03,119.2,134.69,30.4,1606762800
5,1468.66,0.23,52.09,18.24,27.42,124.89,142.24,31.67,1606759200
5,1695.63,0.44,58.26,14.84,31.95,134.02,153.46,33.95,1606755600
5,1895.9,0.64,62.38,13.23,36.72,144.53,165.36,35.97,1606752000
5,2189.64,2.79,69.23,6.17,39.1,155.8,178.02,36.99,1606748400
5,2696.99,11.85,76.77,0.72,42.44,168.72,192.33,35.97,1606744800
5,3257.75,24.14,82.94,0.05,47.21,178.38,202.91,34.96,1606741200
5,3257.75,22.13,89.11,0.09,51.02,166.77,188.5,35.47,1606737600
5,2643.59,5.03,91.85,7.87,51.02,141.62,157.08,28.12,1606734000
5,1735.69,0.94,67.17,51.5,48.64,122.09,132.78,18.49,1606730400
5,1201.63,2.82,45.24,91.55,45.78,115.99,124.59,12.92,1606726800
5,1028.06,3.86,34.62,113.01,40.53,118,125.91,10.64,1606723200
5,881.2,3.27,23.65,131.61,31.95,116.75,123.92,8.36,1606719600
5,801.09,2.85,17.82,133.04,27.42,113.35,120.05,7.22,1606716000
5,807.76,3.49,18.85,120.16,28.13,109.01,115.76,7.22,1606712400
5,847.82,4.36,20.56,100.14,28.85,102.44,109.42,7.79,1606708800
5,1014.71,6.37,28.79,71.53,35.29,97.3,105.42,11.02,1606705200
5,1134.87,5.25,35.64,50.07,36.24,91.44,99.78,13.05,1606701600
5,1134.87,1.45,39.07,40.41,34.33,88.12,96.1,13.93,1606698000
5,947.95,0.03,32.9,47.21,30.99,84.97,91.84,13.55,1606694400
5,794.41,0,26.73,57.22,27.42,82.33,88.03,12.67,1606690800
5,767.71,0,25.36,62.23,26.23,82.42,88,13.05,1606687200
5,761.03,0,25.36,62.94,25.99,81.72,87.47,13.55,1606683600
5,754.36,0,25.36,63.66,25.51,79.86,85.67,13.68,1606680000
5,761.03,0,26.39,62.94,25.27,77.29,83.15,13.93,1606676400
5,787.74,0,26.39,64.37,24.08,74.83,80.81,13.93,1606672800
5,841.14,0,26.39,65.09,23.37,76.45,82.95,13.93,1606669200
5,947.95,0,29.13,64.37,26.46,84.43,92.03,15.07,1606665600
5,1068.12,0,31.53,61.51,29.09,94.19,102.72,16.72,1606662000
5,1201.63,0,36.67,53.64,31.47,98.88,107.87,18.24,1606658400
5,1361.85,0.01,45.24,41.49,34.81,97.62,106.96,19.51,1606654800
5,1415.25,0.02,52.78,33.62,38.15,90.04,98.68,18.75,1606651200
5,1295.09,0.01,50.72,39.7,37.19,79.99,87.11,15.96,1606647600
5,1028.06,0.28,39.76,60.8,33.38,73.79,79.46,12.03,1606644000
5,847.82,1.31,29.13,87.98,30.28,79.36,84.33,9.5,1606640400
5,807.76,2.1,23.65,107.29,28.61,90.78,95.63,8.36,1606636800
5,767.71,2.35,18.34,120.16,25.51,99.33,104.18,7.47,1606633200
5,741.01,2.63,15.94,117.3,23.6,99.5,104.41,6.97,1606629600
5,741.01,3.44,16.79,100.14,23.84,92.28,97.42,7.03,1606626000
5,767.71,4.86,18.34,75.1,23.6,78.65,84.2,7.73,1606622400
5,821.11,7.26,20.91,49.35,24.56,67.01,73.02,9.25,1606618800
5,867.84,8.61,22.96,30.76,25.03,59.43,65.27,10.13,1606615200
5,854.49,5.36,26.73,17.88,24.08,55.87,61.18,10.39,1606611600
5,747.68,0.82,28.45,12.88,21.94,52.18,56.67,10.13,1606608000
4,654.22,0.29,24.68,16.63,19.31,46.69,50.36,9.63,1606604400
4,620.84,0.14,22.28,20.39,17.64,41.46,44.84,9.5,1606600800
4,600.82,0.08,20.74,23.6,16.93,36.79,40.06,9.63,1606597200
4,587.46,0.05,19.71,26.11,15.97,33.35,36.56,9.63,1606593600
4,587.46,0.04,19.54,27.18,15.5,31.49,34.73,9.63,1606590000
4,600.82,0.04,19.88,27.9,15.26,30.64,33.99,9.37,1606586400
4,640.87,0.03,20.91,30.04,15.74,31.97,35.76,9.25,1606582800
4,687.6,0.01,20.74,37.91,16.69,36.36,40.79,9.5,1606579200
4,714.3,0,19.88,50.78,17.64,42.54,47.21,9.5,1606575600
4,761.03,0,20.74,60.08,19.07,49.7,54.53,9.63,1606572000
5,814.44,0,23.31,62.94,20.74,55.39,60.41,10.01,1606568400
5,894.55,0,28.79,60.08,23.6,56.75,61.88,10.64,1606564800
5,974.66,0,34.62,55.79,26.46,58.13,63.38,11.02,1606561200
5,1028.06,0.56,38.39,57.22,30.28,63.26,68.92,11.53,1606557600
5,988.01,2.49,34.96,67.95,31.47,68.36,74.25,11.27,1606554000
5,907.9,3.05,30.16,73.67,29.56,68.25,73.91,10.13,1606550400
5,814.44,2.68,25.02,73.67,25.03,63.86,69.05,8.74,1606546800
5,767.71,2.99,22.28,64.37,22.89,56.61,61.8,8.11,1606543200
4,781.06,4.08,23.31,46.49,24.08,49.19,54.96,8.61,1606539600
4,814.44,5.03,24.68,30.4,24.32,43.55,49.85,9.37,1606536000
4,881.2,7.49,25.02,22.17,25.27,41.36,48.06,10.64,1606532400
4,947.95,10.51,23.99,16.63,25.75,39.15,45.68,11.02,1606528800
4,934.6,8.83,25.02,9.03,25.03,37.08,43.25,10.89,1606525200
4,827.79,3.8,28.1,3,24.32,35.09,40.69,11.02,1606521600
4,734.33,1.79,27.42,4.87,22.65,32.49,37.39,10.89,1606518000
4,714.3,1.12,27.08,6.8,21.46,31.79,36.45,11.02,1606514400
4,700.95,0.68,25.71,9.3,19.79,30.67,34.98,10.51,1606510800
4,687.6,0.4,23.99,12.16,18.12,29.3,33.51,10.01,1606507200
4,680.92,0.26,22.96,14.66,17.41,28.81,33.37,9.88,1606503600
4,720.98,0.28,25.02,14.48,19.07,30.29,35.37,9.88,1606500000
4,814.44,0.59,30.16,11.8,22.89,34.21,40,10.39,1606496400
4,894.55,0.57,32.22,12.7,24.56,39.17,46.13,11.4,1606492800
4,907.9,0.3,32.22,16.99,24.56,41.75,49.19,11.65,1606489200
4,934.6,0.11,32.22,23.96,24.8,44.28,51.55,11.4,1606485600
4,988.01,0.02,33.59,35.41,25.99,49.97,57.25,11.53,1606482000
5,1094.82,0,39.76,50.78,30.99,64.35,71.87,12.16,1606478400
5,1188.28,0,47.3,67.23,38.62,84.41,92.51,12.03,1606474800
5,1188.28,0.02,50.04,79.39,44.82,98.12,106.69,11.02,1606471200
5,1081.47,0.04,46.61,88.69,45.78,101.49,110.07,9.5,1606467600
5,961.3,0.11,39.76,100.14,41.49,98.93,107.04,7.66,1606464000
5,854.49,0.19,31.87,108.72,36.24,92.36,99.88,6.78,1606460400
5,847.82,0.82,29.82,108.72,35.76,92.15,99.78,6.71,1606456800
5,907.9,3.13,32.22,91.55,38.15,93.67,102.12,6.78,1606453200
5,1014.71,8.27,34.62,59.37,39.1,83.14,92.75,8.74,1606449600
5,1241.68,20.34,36.33,22.89,45.78,71.09,83.02,13.3,1606446000
5,1281.74,22.58,33.93,10.37,41.49,67.1,78.45,13.3,1606442400
5,1201.63,17.88,34.27,3.22,36.72,68.63,79.06,12.03,1606438800
5,1028.06,10.84,35.64,0.45,32.9,69.28,78.78,11.4,1606435200
5,881.2,5.87,35.99,0.96,29.09,68.04,76.62,10.39,1606431600
5,867.84,3.49,36.33,2.12,27.66,73.71,82.52,10.01,1606428000
5,1068.12,3.13,38.73,2.26,25.03,100.66,111.71,10.13,1606424400
5,1522.06,4.92,49.35,1.35,24.32,150.89,167.88,10.01,1606420800
5,2349.85,11.06,68.55,0.29,28.13,230.11,258.57,11.65,1606417200
5,3097.53,18.33,83.63,0.02,35.29,308.07,345.75,13.3,1606413600
5,3257.75,19.22,85.68,0.02,40.05,322.26,362.08,14.44,1606410000
5,3124.24,16.09,83.63,0.08,41.01,297.22,337.15,16.97,1606406400
5,2830.51,11.29,82.94,0.35,40.53,253.61,289.31,16.97,1606402800
5,2510.07,7.49,82.94,1.08,39.58,199.31,227.92,15.71,1606399200
5,2269.75,4.58,84.31,2.86,39.58,152.98,174.67,14.69,1606395600
5,2109.53,1.57,87.74,10.01,41.49,126.35,142.32,13.55,1606392000
5,1789.09,0.06,78.83,36.84,42.92,114.24,126.11,12.41,1606388400
5,1214.98,0.26,54.84,86.55,41.96,106.61,115.25,9.37,1606384800
5,854.49,1.06,37.7,123.02,41.49,104.83,111.75,6.02,1606381200
5,847.82,2.32,36.33,125.89,44.82,104.8,111.7,5.83,1606377600
5,814.44,3.33,33.59,121.59,44.82,98.42,105.36,5.51,1606374000
5,801.09,4.41,32.9,105.86,44.82,92.15,99.4,5.26,1606370400
5,881.2,6.48,38.04,84.4,47.68,91.9,99.92,5.26,1606366800
5,1121.52,10.73,47.98,60.08,55.79,108.98,119.31,5.7,1606363200
5,1708.98,24.14,65.8,25.75,75.34,155.36,170.95,8.49,1606359600
5,2002.72,29.06,71.97,9.03,79.16,185.65,203.33,7.98,1606356000
5,2189.64,29.95,78.14,1.34,81.06,222.55,242.54,6.97,1606352400
5,3364.56,59.01,60.32,0.01,55.79,314.58,346.34,16.21,1606348800
5,3044.13,46.94,52.78,0,41.49,313.81,348.66,21.03,1606345200
5,2777.1,36.21,51.41,0,38.15,305.73,343.8,26.09,1606341600
5,2510.07,25.48,52.78,0,34.81,288.55,327.51,25.59,1606338000
5,2296.45,16.54,54.15,0.02,30.99,267.55,304.83,22.8,1606334400
5,2136.23,9.84,56.89,0.27,28.13,249.25,284.34,20.01,1606330800
5,2029.42,5.64,61.01,1.31,26.23,231.25,263.99,15.2,1606327200
5,1949.31,2.65,65.8,5.1,27.9,213.21,243.97,11.78,1606323600
5,1668.93,0.37,61.69,19.67,32.42,188.05,216.2,10.26,1606320000
5,1361.85,0.01,54.15,33.98,34.33,153.45,177.7,9.12,1606316400
5,1255.04,0.01,54.15,36.12,34.33,118.39,138.95,9.25,1606312800
5,1201.63,0.01,56.21,36.12,35.76,93.11,110.02,9.88,1606309200
5,1241.68,0.01,60.32,37.55,38.62,90.2,104.59,10.77,1606305600
5,1281.74,0,58.95,50.78,40.05,99.01,111.73,11.15,1606302000
5,1255.04,0.11,52.09,72.96,41.01,112.63,123.04,10.26,1606298400
5,1201.63,0.55,49.35,90.84,44.35,125.33,134.22,9.63,1606294800
5,1134.87,1.38,48.67,100.14,47.21,127.5,135.77,9.25,1606291200
5,1001.36,1.93,41.13,105.86,42.44,118.98,126.29,7.35,1606287600
5,947.95,2.29,38.39,97.28,39.1,113.74,120.85,5.76,1606284000
5,1054.76,3.3,47.3,75.82,44.35,122.29,130.78,6.14,1606280400
5,1321.79,5.36,61.01,51.5,51.98,149.64,161.84,7.41,1606276800
5,2269.75,25.48,79.51,11.27,71.53,218.28,240,13.43,1606273200
5,2670.29,38,77.46,3.44,75.34,252.62,277.52,13.68,1606269600
5,2590.18,38.45,77.46,0.78,76.29,270.2,295.95,12.79,1606266000
